id,symbol,yield,ytdReturn,threeYearAverageReturn,fiveYearAverageReturn,cashPosition,stockPosition,bondPosition,otherPosition,longSummary
14,EWL,0.0234,0.0392749,0.031285,0.0737771,0.0119,0.9881,0,0,"The fund generally will invest at least 80% of its assets in the component securities of its underlying index and in investments that have economic characteristics that are substantially identical to the component securities of its underlying index. The index is a free float-adjusted market capitalization-weighted index that is designed to measure the performance of the large- and mid- capitalization segments of the equity market in Switzerland. The fund is non-diversified."
15,EFG,0.0127,0.0135745,-0.0121843,0.040324796,0.0061000003,0.9925,0,0,"The fund generally will invest at least 80% of its assets in the component securities of its underlying index and in investments that have economic characteristics that are substantially identical to the component securities of its underlying index. The index is a subset of the MSCI EAFE Index. Constituents of the underlying index include securities of companies located in Europe, Australasia and the Far East."
16,IEV,0.0273,0.053847097,0.0626358,0.0489193,0.0013,0.9986,0,0,"The index measures the performance of the securities of leading companies in the following countries: Austria, Belgium, Denmark, Finland, France, Germany, Ireland, Italy, Luxembourg, the Netherlands, Norway, Portugal, Spain, Sweden, Switzerland and the United Kingdom (the “U.K.”). The fund generally will invest at least 80% of its assets in the component securities of its underlying index and in investments that have economic characteristics that are substantially identical to the component securities of its underlying index."
17,SOXQ,0.010299999,0.3430278,,0,-0.0008,1.0008,0,0,"The fund generally will invest at least 90% of its total assets in the securities that comprise the underlying index. Strictly in accordance with its guidelines and mandated procedures, Nasdaq compiles the underlying index, which is a modified market-capitalization weighted index designed to measure the performance of the 30 largest companies listed in the United States that are engaged in the semiconductor business, as determined by the index Provider. The fund is non-diversified."
18,SUSB,0.0255,0.0121972,-0.015467499,0.0138627,-0.0001,0,1.0001,0,"The fund generally will invest at least 90% of its assets in the component securities of the underlying index and may invest up to 10% of its assets in certain futures, options and swap contracts, cash and cash equivalents. The index has been developed by Bloomberg Finance L.P. and its affiliates with environmental, social and governance (""ESG"") rating inputs from MSCI ESG Research LLC pursuant to an agreement between MSCI ESG Research and Bloomberg Index Services Limited, a subsidiary of Bloomberg."
19,EDEN,0.019,0.022929499,0.047733102,0.11924,0.010299999,0.9897,0,0,"The fund generally will invest at least 80% of its assets in the component securities of its underlying index and in investments that have economic characteristics that are substantially identical to the component securities of its underlying index. The index is designed to measure the performance of the large-, mid- and small-capitalization segments of the equity market in Denmark. The underlying index uses a capping methodology that limits the weight of any single “group entity” to a maximum of 25% of the underlying index weight. The fund is non-diversified."
20,ESMV,0.0178,0.0153508,,0,0.0023999999,0.9976,0,0,"The underlying index is designed to measure the performance of large- and mid-capitalization U.S. equity securities that reflect the performance of a minimum volatility strategy and, relative to the MSCI USA Index, have higher favorable ESG characteristics and lower carbon exposure. The fund generally will invest at least 90% of its assets in the component securities of the underlying index and may invest up to 10% of its assets in certain futures, options and swap contracts, cash and cash equivalents. It is non-diversified."
21,PIO,0.0095,-0.0073874,0.008383701,0.0730242,-0.001,1.0009999,0,0,"The fund generally will invest at least 90% of its total assets in the securities that comprise the underlying index, as well as ADRs and GDRs that are based on the securities in the underlying index. The underlying index is comprised of securities of global exchange-listed companies located in the United States, as well as developed and emerging markets throughout the world, that create products designed to conserve and purify water for homes, businesses and industries. It is non-diversified."
22,EZU,0.024600001,0.0579717,0.046644703,0.0407206,0.0026,0.9952,0,0,"The fund generally will invest at least 80% of its assets in the component securities of its underlying index and in investments that have economic characteristics that are substantially identical to the component securities of its underlying index. The index consists of securities from the following 10 developed market countries: Austria, Belgium, Finland, France, Germany, Ireland, Italy, the Netherlands, Portugal and Spain."
23,HEZU,0.0198,0.092089504,0.1078681,0.0816384,0.003,0.99480003,0,0,"The fund generally will invest at least 80% of its assets in the component securities of the index and in investments that have economic characteristics that are substantially identical to the component securities of the index and may invest up to 20% of its assets in certain futures, options and swap contracts, cash and cash equivalents."
24,EWU,0.0346,0.0363826,0.1094189,0.0312427,0.0050999997,0.9949,0,0,"The fund generally will invest at least 80% of its assets in the component securities of its underlying index and in investments that have economic characteristics that are substantially identical to the component securities of its underlying index. The underlying index is designed to measure the performance of the large- and mid-capitalization segments of the UK market. The fund is non-diversified."
25,HEWU,0.0361,0.0358564,0.1438956,0.0589531,0.0076,0.9924,0,0,"The fund generally will invest at least 80% of its assets in the component securities of its underlying index and in investments that have economic characteristics that are substantially identical to the component securities of its underlying index. The index is designed to measure the performance of the large- and mid-capitalization segments of the UK market with the currency risk inherent in the securities included in the underlying index hedged to the U.S. dollar on a monthly basis."
26,BECO,0.0088,-0.0803007,,0,0.0175,0.9825,0,0,"In normal market conditions, the fund will seek to invest in a relatively concentrated portfolio of equity securities across multiple subthemes driven by this future climate theme, including (without limitation) clean power, resource efficiency, sustainable nutrition, biodiversity and clean transport. The fund is non-diversified."
27,SOXX,0.0094,0.3433458,0.1378792,0.2415196,0.0018000001,0.9982,0,0,"The fund generally will invest at least 80% of its assets in the component securities of its index and in investments that have economic characteristics that are substantially identical to the component securities of its index and may invest up to 20% of its assets in certain futures, options and swap contracts, cash and cash equivalents. The fund is non-diversified."
28,FDD,0.0641,-0.0210546,0.0525351,0.0133083,0.0166,0.9834,0,0,"The fund will normally invest at least 90% of its net assets (including investment borrowings) in the common stocks and depositary receipts that comprise the index. The index consists of 30 high dividend-yielding securities selected from the STOXX ® Europe 600 Index. In addition, a security must be issued by a company with a non-negative five-year dividend-per-share growth rate and a dividend-to-earnings ratio of 60% or less."
29,VGK,0.034,0.0461225,0.0540918,0.0467226,0.0057,0.991,0,0.003,"The fund employs an indexing investment approach by investing all, or substantially all, of its assets in the common stocks included in the FTSE Developed Europe All Cap Index. The index is a market-capitalization-weighted index."
30,IEUR,0.0305,0.0418426,0.052891303,0.045278803,0.0064,0.9917,0,0.00059999997,"The fund generally will invest at least 80% of its assets in the component securities of its underlying index and in investments that have economic characteristics that are substantially identical to the component securities of its underlying index. The index is a free float-adjusted market capitalization-weighted index which consists of securities from the following 15 developed market countries or regions: Austria, Belgium, Denmark, Finland, France, Germany, Ireland, Italy, the Netherlands, Norway, Portugal, Spain, Sweden, Switzerland and the United Kingdom."
31,EWA,0.0394,-0.0379331,0.050145503,0.0457098,0.0139,0.9861,0,0,"The fund generally invests at least 80% of its assets in the component securities of its underlying index and in investments that have economic characteristics that are substantially identical to the component securities of its underlying index. The underlying index is designed to measure the performance of large- and mid-capitalization segments of the Australian equity market. The fund is non-diversified."
32,EWO,0.050100002,0.040541302,0.1194942,0.0043609,0.0217,0.97830003,0,0,"The fund generally will invest at least 80% of its assets in the component securities of its underlying index and in investments that have economic characteristics that are substantially identical to the component securities of its underlying index. The index is a free float-adjusted market capitalization-weighted index that is designed to measure the performance of the large-, mid- and small-capitalization segments of the equity market in Austria. The fund is non-diversified."
33,SPEU,0.0321,0.0422097,0.051564597,0.0507761,0.0032,0.99480003,0,0.0005,"Under normal market conditions, the fund generally invests substantially all, but at least 80%, of its total assets in the securities comprising the index. It employs a sampling strategy, which means that the fund is not required to purchase all of the securities represented in the index. The index is a free-float market capitalization weighted index designed to provide a broad representation of publicly traded Western European companies."
34,FKU,0.028499998,0.0045573,0.0341903,0.0098434,0.0092,0.96779996,0,0.023,"The fund will normally invest at least 90% of its net assets (including investment borrowings) in the securities that comprise the index. The index is designed to select stocks from the NASDAQ United Kingdom Index (the ""base index"") that may generate positive alpha, or risk-adjusted returns, relative to traditional indices through the use of the AlphaDEX® selection methodology."
35,IGV,0.0001,0.3585204,0.0189192,0.1387812,0.0014,0.9985,0,0,"The fund generally will invest at least 80% of its assets in the component securities of its underlying index and in investments that have economic characteristics that are substantially identical to the component securities of its underlying index. The index measures the performance of U.S.-traded stocks from the software industry and select companies from the interactive home entertainment and interactive media and services sub-industries in the U.S. and Canada. The fund is non-diversified."
36,FAN,0.0198,-0.2088529,-0.0911202,0.050478403,0.0055,0.9945,0,0,"The fund will normally invest at least 90% of its net assets (including investment borrowings) in the common stocks and depositary receipts that comprise the index. The index provides a benchmark for investors interested in tracking public companies throughout the world that are active in the wind energy industry. In order to be eligible for inclusion in the index, a security must be issued by a company that is actively engaged in some aspect of the wind energy industry. The fund is non-diversified."
37,EWQ,0.026400002,0.0600157,0.0971784,0.0630872,0.0011,0.9989,0,0,"The fund generally will invest at least 80% of its assets in the component securities of its underlying index and in investments that have economic characteristics that are substantially identical to the component securities of its underlying index. The index is designed to measure the performance of the large- and mid-capitalization segments of the French equity market. The fund is non-diversified."
38,EFAX,0.0292,0.0345855,0.0273786,0.036690198,0.0023999999,0.9969,0,0,"Under normal market conditions, the fund generally invests substantially all, but at least 80%, of its total assets in the securities comprising the index and in depositary receipts based on securities comprising the index. The index is designed to measure the performance of companies in the MSCI EAFE Index that are ""fossil fuel reserves free,"" as determined by the screening methodology used by the index."
39,VIGI,0.0224,0.0268527,0.0221924,0.0643568,0.0034,0.9959,0,0,"The index focuses on high-quality companies located in developed and emerging markets, excluding the U.S., that have both the ability and the commitment to grow their dividends over time. The manager attempts to replicate the target index by investing all, or substantially all, of its assets in the collection of securities that make up the index, holding each stock in approximately the same proportion as its weighting in the index."
40,IVEG,0.0218,-0.1203082,,0,0.0050999997,0.99480003,0,0,"The fund invests at least 80% of its assets in the securities of its index and in investments that have economic characteristics that are substantially identical to the securities of its index and may invest up to 20% of its assets in certain futures, options and swap contracts, cash and cash equivalents as well as in securities not included in the index. It is non-diversified."
41,EFA,0.0229,0.042238597,0.043544102,0.0401557,0.0056,0.9936,0,0,"The fund generally will invest at least 80% of its assets in the component securities of its underlying index and in investments that have economic characteristics that are substantially identical to the component securities of its underlying index. The index is a free float-adjusted, market capitalization-weighted index designed to measure large- and mid-capitalization equity market performance of developed markets outside of the U.S. and Canada."
42,HEFA,0.0186,0.107591696,0.1163081,0.0848014,0.006,0.9933,0,0,"The fund generally will invest at least 80% of its assets in the component securities (including indirect investments through the underlying fund) and other instruments of the underlying index and in investments that have economic characteristics that are substantially identical to the component securities of the underlying index. The index is composed of large- and mid-capitalization equities in Europe, Australasia, and the Far East while mitigating exposure to fluctuations between the value of the component currencies and the U.S. dollar."
43,IDHQ,0.0257,0.0634437,0.0189242,0.061584402,-0.003,0.9961,0,0.0056,"The fund will invest at least 90% of its total assets in securities that comprise the underlying index. The index provider compiles, maintains and calculates the underlying index, which is constructed from constituents of the S&P Developed ex-U.S. LargeMidCap Index that the index provider identifies as being of the highest quality-that is, stocks of companies that seek to generate higher revenue and cash flow than their counterparts through prudent use of assets and finances."
44,RFEU,0.052600004,0.0280123,0.0191582,0.0267815,0.0038,0.98370004,0,0.0125,"The fund seeks to achieve its investment objective by investing at least 80% of its net assets (including investment borrowings) in a portfolio of equity securities of European companies, including through investments in common stock, depositary receipts, and common and preferred shares of real estate investment trusts (""REITs""), and forward foreign currency exchange contracts and currency spot transactions used to hedge the fund's exposure to the currencies in which the equity securities of such European companies are denominated."
45,IMTM,0.025,0.0186409,-0.0017678,0.047220804,0.0052,0.99480003,0,0,"The fund will invest at least 80% of its assets in the component securities of the index and in investments that have economic characteristics that are substantially identical to the component securities of the index. The index consists of stocks exhibiting relatively higher momentum characteristics than the traditional market capitalization-weighted parent index, the MSCI World ex USA Index."
46,FICS,0.0119,0.0332796,0,0,0.0023999999,0.9976,0,0,"The fund seeks to achieve its investment objective by investing, under normal market conditions, at least 90% of its net assets in the common stocks and REITs that comprise the index. The index seeks to provide exposure to well-capitalized companies in the developed markets outside of the U.S. with strong market positions that have the potential to provide their stockholders with a greater degree of stability and performance over time. The fund is non-diversified."
47,PHO,0.0070999996,0.0061397,0.0744088,0.124408595,0.00090000004,0.9992,0,0,"The fund generally will invest at least 90% of its total assets in securities that comprise the underlying index. The underlying index seeks to track the performance of companies that create products designed to conserve and purify water for homes, businesses and industries. The underlying index may include common stocks, ordinary shares, American depositary receipts (""ADRs""), shares of beneficial interest and tracking stocks. The fund is non-diversified."
48,INTF,0.0274,0.0438391,0.045545503,0.0283872,0.008,0.985,0,0,"The fund generally will invest at least 80% of its assets in the component securities of its underlying index and in investments that have economic characteristics that are substantially identical to the component securities of its underlying index. The underlying index is composed of large- and mid-capitalization equity securities from the STOXX Global 1800 ex USA index (the “parent index”) that are selected and weighted using an optimization process designed to maximize exposure to five target factors: momentum, quality, value, low volatility and size."
49,HDMV,0.033099998,-0.0030825,0.0035687,-0.0088727,0.0108,0.9892,0,0,"Under normal market conditions, the fund seeks to achieve its investment objective by investing at least 80% of its net assets (including investment borrowings) in common stocks and depositary receipts of developed market companies listed and traded on non-U.S. exchanges that the Sub-Advisor believes exhibit low future expected volatility. Under normal market conditions, it will invest in at least three countries and at least 40% of its net assets in countries other than the United States."
50,DJD,0.0378,-0.0421105,0.0864018,0.0643046,-0.0007,1.0007,0,0,"The fund will generally invest at least 90% of its total assets in securities that comprise the underlying index. The underlying index is designed to track the dividend-paying equity securities of companies included in the Dow Jones Industrial Average™, which is a price-weighted index of 30 U.S. companies that meet certain size, listing and liquidity requirements. The fund is non-diversified."
51,ENZL,0.016,-0.1089859,-0.0897262,0.011396901,0.0085,0.9915,0,0,"The fund generally will invest at least 80% of its assets in the component securities of the underlying index and in investments that have economic characteristics that are substantially identical to the component securities of the underlying index. The index is a free float-adjusted market capitalization-weighted index that is designed to measure the performance of the large-, mid- and small-capitalization segments of the equity market in New Zealand. The fund is non-diversified."
52,IXN,0.0061000003,0.315099,0.1019582,0.1772696,0.0037,0.9963,0,0,"The index is designed to measure the performance of global equities in the information technology sector. The fund generally will invest at least 80% of its assets in the component securities of its index and in investments that have economic characteristics that are substantially identical to the component securities of its index and may invest up to 20% of its assets in certain futures, options and swap contracts, cash and cash equivalents. It is non-diversified."
53,CGW,0.0145000005,-0.0233805,0.0337,0.082658395,-0.0001,1.0001,0,0,"The fund generally will invest at least 90% of its total assets in securities that comprise the underlying index, as well as ADRs and GDRs that represent securities in the underlying index. Strictly in accordance with its guidelines and mandated procedures the index provider compiles, maintains, and calculates the underlying index, which is designed to measure the performance of the largest global companies in water-related businesses, with a target constituent count of 100. The fund is non-diversified."
54,PID,0.0354,-0.0009509,0.1133769,0.0525558,0,1,0,0,"The fund generally will invest at least 90% of its total assets in the securities that comprise the underlying index. The underlying index is composed of Global Depositary Receipts (“GDRs”) that are listed on the London Stock Exchange (“LSE”) or the London International Exchange, American Depositary Receipts (“ADRs”), non-U.S. common or ordinary stocks, limited partnership interests and shares of limited liability companies that are listed on the NYSE."
56,QEFA,0.027999999,0.0426239,0.0444493,0.045200802,0.0027,0.9965,0,0,"The fund generally invests substantially all, but at least 80%, of its total assets in the securities comprising the index and in depositary receipts based on securities comprising the index. The index captures large- and mid-cap representation across 21 developed market Europe, Australasia, and Far East countries and aims to represent the performance of value, low volatility, and quality factor strategies."
57,EWG,0.0293,0.0577882,-0.0158813,0.0088202,0.0095,0.98190004,0,0,"The fund generally will invest at least 80% of its assets in the component securities of its underlying index and in depositary receipts representing securities of the underlying index. The underlying index is designed to measure the performance of the large- and mid-capitalization segments of the German equity market. The fund is non-diversified."
58,HEWG,0.033,0.092427105,0.0436594,0.050155703,0.0099,0.9815,0,0,"The fund generally will invest at least 80% of its assets in the component securities and other instruments of its underlying index and in investments that have economic characteristics that are substantially identical to the component securities of the underlying index. The index is designed to measure the large- and mid-capitalization segments of the German equity market with the currency risk inherent in the securities included in the underlying index hedged to the U.S. dollar on a monthly basis."
59,EZA,0.0355,-0.095393494,0.0371675,0.0006172,0.0041,0.9959,0,0,"The fund generally will invest at least 80% of its assets in the component securities of its underlying index and in investments that have economic characteristics that are substantially identical to the component securities of its underlying index. The underlying index is designed to measure the performance of the large- and mid-capitalization segments of the equity market in South Africa. The underlying index uses a capping methodology that limits the weight of any single “group entity” to a maximum of 25% of the underlying index weight. The fund is non-diversified."
60,IGRO,0.0273,0.0286139,0.0423983,0.0466439,0.0077,0.9917,0,0,"The fund seeks to track the investment results of the index, which is a dividend dollars weighted index that seeks to measure the performance of international equities selected based on a consistent history of growing dividends. It will invest at least 80% of its assets in the component securities of the index and in investments that have economic characteristics that are substantially identical to the component securities of the index and may invest up to 20% of its assets in certain futures, options and swap contracts, cash and cash equivalents."
61,RFDI,0.0336,0.043020602,0.017194001,0.0224751,0.0033000002,0.9886,0,0.0082,"The fund will seek to achieve its investment objective by investing at least 80% of its net assets in a portfolio of equity securities of developed market companies, including through investments in common stock, depositary receipts, and common and preferred shares of real estate investment trusts (""REITs""), and forward foreign currency exchange contracts and currency spot transactions used to hedge the fund's exposure to the currencies in which the equity securities of such developed market companies are denominated."
62,XLK,0.0086,0.348721,0.1291244,0.2024265,0.0014,0.9986,0,0,"In seeking to track the performance of the index, the fund employs a replication strategy, which means that the fund typically invests in substantially all of the securities represented in the index in approximately the same proportions as the index. It generally invests substantially all, but at least 95%, of its total assets in the securities comprising the index. The fund is non-diversified."
63,SUSC,0.0381,-0.0254445,-0.0618051,0.00423,0.0038,0,0.996,0,"The fund generally will invest at least 90% of its assets in the component securities of the index and may invest up to 10% of its assets in certain futures, options and swap contracts, cash and cash equivalents, as well as in securities not included in the index, but which BFA believes will help it track the index."
64,USXF,0.0127,0.1338566,0.0763133,0,0.0017,0.9983,0,0,"The underlying index is a free float-adjusted market capitalization-weighted index designed to reflect the equity performance of large- and mid-capitalization U.S. companies with favorable environmental, social and governance (“ESG”) ratings while applying extensive screens, including removing fossil fuel exposure. The fund generally will invest at least 90% of its assets in the component securities of the underlying index. It is non-diversified."
65,IEFA,0.0252,0.0349646,0.0380801,0.038216602,0.0083,0.9903,0,0.0005,"The fund generally will invest at least 80% of its assets in the component securities of its underlying index and in investments that have economic characteristics that are substantially identical to the component securities of its underlying index. The index is designed to measure large-, mid- and small-capitalization equity market performance and includes stocks from Europe, Australasia and the Far East."
66,EWD,0.006,-0.0009279,-0.0046204003,0.045174498,0.0344,0.96559995,0,0,"The fund generally will invest at least 80% of its assets in the component securities of its underlying index and in investments that have economic characteristics that are substantially identical to the component securities of its underlying index. The index is designed to measure the performance of the large- and mid-capitalization segments of the equity market in Sweden. The fund is non-diversified."
67,FSZ,0.0253,0.0413869,0.0424012,0.0648774,0.0007,0.9993,0,0,"The fund will normally invest at least 90% of its net assets (including investment borrowings) in the securities that comprise the index. The index is designed to select stocks from the NASDAQ Switzerland Index (the ""base index"") that may generate positive alpha, or risk-adjusted returns, relative to traditional indices through the use of the AlphaDEX® selection methodology."
68,EWUS,0.0178,-0.0556814,-0.0318802,-0.031170102,0.0072000003,0.9636,0,0.0293,"The fund generally will invest at least 80% of its assets in the component securities of the underlying index and in investments that have economic characteristics that are substantially identical to the component securities of the underlying index. The index is designed to measure the performance of equity securities of small-capitalization companies in the United Kingdom (the ""U.K."") securities market."
69,FLRN,0.0484,0.0518565,0.0232256,0.0221334,0.0664,0,0.9311,0,"The fund generally invests substantially all, but at least 80%, of its total assets in the securities comprising the index and in securities that the Adviser determines have economic characteristics that are substantially identical to the economic characteristics of the securities that comprise the index. The index is designed to measure the performance of U.S. dollar-denominated, investment grade floating rate notes."
70,IDEV,0.024400001,0.0313911,0.0416176,0.0414763,0.0077,0.9913,0,0.00029999999,"The fund generally will invest at least 80% of its assets in the component securities of its underlying index and in investments that have economic characteristics that are substantially identical to the component securities of its underlying index. The underlying index is free float adjusted, market cap weighted, and is designed to measure large-, mid- and small-capitalization equity market performance and includes stocks from North America, Europe, Australasia and the Far East."
71,EWC,0.025,0.0144527,0.0782111,0.062271,0.0052,0.9949,0,0,"The fund generally will invest at least 80% of its assets in the component securities of its underlying index and in investments that have economic characteristics that are substantially identical to the component securities of its underlying index. The underlying index is designed to measure broad-based equity performance in Canada. The underlying index includes large- and mid-capitalization companies and may change over time."
72,HEWC,0.0254,0.0333819,0.1004581,0.082565695,0.0056,0.9944,0,0,"The fund generally will invest at least 80% of its assets in the component securities and other instruments of its underlying index and in investments that have economic characteristics that are substantially identical to the component securities of the underlying index. The index is designed to measure the performance of the large- and mid-capitalization segments of the Canadian equity market with the currency risk inherent in the securities included in the underlying index hedged to the U.S. dollar on a monthly basis."
73,EPP,0.0383,-0.0748063,0.0158699,0.021683099,0.01,0.9899,0,0,"The fund generally will invest at least 80% of its assets in the component securities of its underlying index and in investments that have economic characteristics that are substantially identical to the component securities of its underlying index. The underlying index consists of stocks from the following four countries or regions: Australia, Hong Kong, New Zealand and Singapore. The underlying index include large- and mid-capitalization companies and may change over time. The fund is non-diversified."
74,ETEC,,,0,0,0.003,0.9936,0.0034,0,"The underlying index measures the performance of equity securities issued by U.S. and non-U.S. companies involved in breakthrough innovations and new technologies that seek to address or combat climate change, as determined by Morningstar or its affiliates. The fund generally will invest at least 90% of its assets in the component securities of the underlying index. The fund is non-diversified."
75,DSI,0.013099999,0.1365265,0.0866271,0.1153711,0.0028,0.9973,0,0,"The fund generally invests at least 90% of its assets in securities of the underlying index and in depositary receipts representing securities of the underlying index. The underlying index is a free float-adjusted market capitalization index designed to provide exposure to U.S. companies that have positive environmental, social and governance (""ESG"") characteristics."
76,EFV,0.0379,0.0674479,0.0970471,0.031925,0.0083,0.9917,0,0,"The fund generally invests at least 80% of its assets in the component securities of its underlying index and in investments that have economic characteristics that are substantially identical to the component securities of its underlying index. The underlying index is a subset of the MSCI EAFE Index. Constituents of the underlying index include securities from Europe, Australasia and the Far East."
77,PICB,0.0217,-0.0117209,-0.0881334,-0.027425,0.0027,0,0.9889,0,"The fund generally will invest at least 80% of its total assets in securities that comprise the underlying index. The underlying index is composed of investment grade corporate bonds issued by foreign issuers and denominated in the following currencies of Group of Ten countries, excluding the U.S. Dollar (USD): Australian Dollar (AUD), British Pound (GBP), Canadian Dollar (CAD), Euro (EUR), Japanese Yen (JPY), New Zealand Dollar (NZD), Norwegian Krone (NOK), Swedish Krona (SEK) and Swiss Franc (SFR)."
78,IHF,0.0093,-0.048727497,0.0693605,0.0703025,0.001,0.999,0,0,"The index measures the performance of the healthcare providers sector of the U.S. equity market, as defined by SPDJI. The fund generally will invest at least 80% of its assets in the component securities of its index and in investments that have economic characteristics that are substantially identical to the component securities of its index and may invest up to 20% of its assets in certain futures, options and swap contracts, cash and cash equivalents. It is non-diversified."
79,PXF,0.034,0.055837404,0.0970505,0.0443206,-0.0017,1.0001999,0,0.0013,"The fund generally will invest at least 90% of its total assets in the securities that comprise the underlying index, as well as American depositary receipts (""ADRs"") and global depositary receipts (""GDRs"") that represent securities in the underlying index. The underlying index is comprised of companies located in countries that are classified as ""developed"" within the country classification definition of FTSE, excluding the United States."
80,SDG,0.0184,-0.0804165,-0.022587199,0.0729037,0.0061000003,0.9939,0,0,"The fund generally will invest at least 80% of its assets in the component securities of the underlying index and in investments that have economic characteristics that are substantially identical to the component securities of the underlying index. The index is composed of companies that derive a majority of their revenue from products and services that address at least one of the world's major social and environmental challenges as identified by the United Nations Sustainable Development Goals."
81,SPDW,0.0298,0.0343977,0.0359229,0.0383497,0.0086,0.987,0.0025,0.0015,"The fund generally invests substantially all, but at least 80%, of its total assets in the securities comprising the index and in depositary receipts based on securities comprising the index. The index is a float-adjusted market capitalization weighted index designed to define and measure the investable universe of publicly traded companies domiciled in developed countries outside the United States."
